Number of Posts with at Least One Misogynistic Term	Number of Participants	Percent of Participants
0	1525	18.75768757687577
1	779	9.58179581795818
2-5	1401	17.232472324723247
6-10	772	9.49569495694957
11-50	1501	18.462484624846248
51-100	639	7.859778597785978
101-250	670	8.241082410824108
251-500	362	4.4526445264452645
501-1000	264	3.247232472324723
1001-2000	150	1.8450184501845017
>2000	67	0.8241082410824108
Total	8130	100.0
